STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,CLIM_ACT_POL,Climate actions and policies,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2015,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2016,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2017,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2018,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2019,,3,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2020,,4,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2021,,4,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2022,,4,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1990,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1991,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1992,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1993,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1994,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1995,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1996,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1997,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1998,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,1999,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2000,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2001,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2002,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2003,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2004,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2005,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2006,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2007,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2008,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2009,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2010,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2011,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2012,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2013,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2014,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2015,,0,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2016,,1,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2017,,1,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2018,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2019,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2020,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2021,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_GHGTAR,GHG emission targets,PL,Policies,2022,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1990,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1991,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1992,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1993,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1994,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1995,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1996,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1997,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1998,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,1999,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2000,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2001,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2002,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2003,,4,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2004,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2005,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2006,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2007,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2008,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2009,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2010,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2011,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2012,,6,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,CAN,Canada,A,Annual,POL_COUNT,Adopted policies,LEV2_CROSS_SEC_RDD,Public RD&D expenditure,PL,Policies,2013,,6,,A,Normal value,0,Units,0,Zero
